Date,Time,Petite Frite,Moyenne Frite,Grande Frite,Burger,valeur petite frite,valeur moyenne frite,valeur grande frite,valeur burger,valeur commande
18/06/2020,,0,1,0,0,0,3,0,0,3
29/11/2019,18:55,0,0,3,2,0,0,12,12,24
29/11/2019,19:15,0,1,0,2,0,3,0,12,15
29/11/2019,,0,1,1,3,0,3,4,18,25
29/11/2019,,0,0,3,3,0,0,12,18,30
29/11/2019,,0,0,3,5,0,0,12,30,42
29/11/2019,,0,1,0,0,0,3,0,0,3
29/11/2019,,0,0,2,3,0,0,8,18,26
06/12/2019,,0,2,1,2,0,6,4,12,22
06/12/2019,,0,0,2,2,0,0,8,12,20
06/12/2019,,1,0,2,3,2,0,8,18,28
06/12/2019,,1,1,0,2,2,3,0,12,17
06/12/2019,,1,0,1,3,2,0,4,18,24
06/12/2019,,0,0,2,5,0,0,8,30,38
06/12/2019,,0,0,1,1,0,0,4,6,10
06/12/2019,,0,2,0,2,0,6,0,12,18
13/12/2019,,0,2,0,5,0,6,0,30,36
13/12/2019,,0,0,1,0,0,0,4,0,4
13/12/2019,,1,2,0,5,2,6,0,30,38
13/12/2019,,0,1,2,0,0,3,8,0,11
27/12/2019,,0,1,0,1,0,3,0,6,9
27/12/2019,,0,0,1,1,0,0,4,6,10
27/12/2019,,0,0,1,0,0,0,4,0,4
27/12/2019,,0,1,1,3,0,3,4,18,25
27/12/2019,,0,1,0,0,0,3,0,0,3
27/12/2019,,0,0,0,10,0,0,0,60,60
03/01/2020,,0,0,2,0,0,0,8,0,8
03/01/2020,,7,0,4,7,14,0,16,42,72
03/01/2020,,0,1,1,2,0,3,4,12,19
03/01/2020,,0,6,0,6,0,18,0,36,54
03/01/2020,,0,1,0,0,0,3,0,0,3
03/01/2020,,0,0,0,2,0,0,0,12,12
10/01/2020,,1,1,0,2,2,3,0,12,17
10/01/2020,,0,1,0,4,0,3,0,24,27
10/01/2020,,0,2,2,0,0,6,8,0,14
17/01/2020,19:20,0,2,1,2,0,6,4,12,22
17/01/2020,19:30,5,0,0,5,10,0,0,30,40
17/01/2020,20:00,0,0,1,2,0,0,4,12,16
17/01/2020,20:30,1,0,0,5,2,0,0,30,32
17/01/2020,20:40,1,0,0,1,2,0,0,6,8
17/01/2020,,1,0,1,2,2,0,4,12,18
17/01/2020,,0,1,0,0,0,3,0,0,3
17/01/2020,,0,1,0,2,0,3,0,12,15
24/01/2020,,0,0,1,1,0,0,4,6,10
24/01/2020,,0,1,0,1,0,3,0,6,9
31/01/2020,20:00,0,5,0,5,0,15,0,30,45
31/01/2020,20:15,0,0,2,0,0,0,8,0,8
31/01/2020,20:20,0,0,1,2,0,0,4,12,16
31/01/2020,,0,0,2,0,0,0,8,0,8
31/01/2020,,0,2,0,2,0,6,0,12,18
31/01/2020,,0,0,1,0,0,0,4,0,4
07/02/2020,19:25,0,0,1,2,0,0,4,12,16
07/02/2020,20:00,0,0,5,5,0,0,20,30,50
07/02/2020,20:20,0,1,0,2,0,3,0,12,15
07/02/2020,20:35,0,1,0,2,0,3,0,12,15
07/02/2020,,0,0,1,1,0,0,4,6,10
07/02/2020,,0,1,1,2,0,3,4,12,19
07/02/2020,,0,1,0,1,0,3,0,6,9
14/02/2020,19:30,0,0,2,3,0,0,8,18,26
14/02/2020,19:45,0,0,1,2,0,0,4,12,16
