Date,Day,Time,Hour_missing,Hour,Petite Frite,Moyenne Frite,Grande Frite,Burger,valeur commande
21/05/2020,Thursday,11:20,0.00,11.00,0,0,1,2,16
21/05/2020,Thursday,11:30,0.00,11.00,0,0,1,0,4
21/05/2020,Thursday,11:30,0.00,11.00,3,0,0,0,6
21/05/2020,Thursday,12:00,0.00,12.00,0,0,1,0,4
21/05/2020,Thursday,12:00,0.00,12.00,0,0,2,2,20
21/05/2020,Thursday,12:05,0.00,12.00,0,0,1,2,16
21/05/2020,Thursday,12:17,0.00,12.00,0,2,0,3,24
21/05/2020,Thursday,12:45,0.00,12.00,0,0,2,0,8
21/05/2020,Thursday,,1.00,12.00,1,0,0,0,2
28/05/2020,Thursday,12:00,0.00,12.00,2,0,0,3,22
28/05/2020,Thursday,12:15,0.00,12.00,1,0,0,1,8
28/05/2020,Thursday,12:30,0.00,12.00,0,0,1,1,10
28/05/2020,Thursday,12:45,0.00,12.00,0,0,1,4,28
28/05/2020,Thursday,13:00,0.00,13.00,0,0,3,3,30
28/05/2020,Thursday,,1.00,13.00,0,1,0,0,3
28/05/2020,Thursday,,1.00,13.00,0,1,1,0,7
28/05/2020,Thursday,,1.00,13.00,0,1,0,0,3
04/06/2020,Thursday,11:25,0.00,11.00,0,1,0,2,15
04/06/2020,Thursday,12:00,0.00,12.00,0,0,1,0,4
04/06/2020,Thursday,12:30,0.00,12.00,3,0,3,4,42
04/06/2020,Thursday,12:35,0.00,12.00,0,0,1,0,4
04/06/2020,Thursday,,1.00,12.00,0,0,1,0,4
04/06/2020,Thursday,,1.00,12.00,0,0,0,1,6
04/06/2020,Thursday,,1.00,12.00,1,0,0,0,2
04/06/2020,Thursday,,1.00,12.00,0,1,0,1,9
04/06/2020,Thursday,,1.00,12.00,0,1,0,1,9
04/06/2020,Thursday,,1.00,12.00,0,0,1,0,4
04/06/2020,Thursday,,1.00,12.00,1,0,0,0,2
11/06/2020,Thursday,12:00,0.00,12.00,0,1,0,0,3
11/06/2020,Thursday,12:00,0.00,12.00,0,1,0,2,15
11/06/2020,Thursday,12:15,0.00,12.00,0,1,0,2,15
11/06/2020,Thursday,12:20,0.00,12.00,0,0,0,1,6
11/06/2020,Thursday,12:30,0.00,12.00,0,0,1,1,10
11/06/2020,Thursday,12:45,0.00,12.00,0,0,4,0,16
11/06/2020,Thursday,,1.00,12.00,0,1,0,0,3
11/06/2020,Thursday,,1.00,12.00,0,1,0,0,3
11/06/2020,Thursday,,1.00,12.00,0,2,0,2,18
11/06/2020,Thursday,,1.00,12.00,0,0,1,0,4
11/06/2020,Thursday,,1.00,12.00,0,0,1,0,4
11/06/2020,Thursday,,1.00,12.00,0,0,1,0,4
11/06/2020,Thursday,,1.00,12.00,1,0,0,0,2
